date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:36:15	41/41	---M--	200	added ('OK')	text/plain	etag:%22657b2133-29%22	https://strawpoll.com/robots.txt		(from )
13:36:15	255717/255717	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Feb%202024%2021:36:12%20GMT	https://strawpoll.com/create/	C:/My%20Web%20Sites/Strawpoll/strawpoll.com/create/index.html	(from )
13:36:18	134668/134668	---MCZ	200	added ('OK')	text/css	etag:W/%2265ba9116-20e0c%22	https://cdn.strawpoll.com/dist/main.css?v=231	C:/My%20Web%20Sites/Strawpoll/cdn.strawpoll.com/dist/main7bab.css	(from https://strawpoll.com/create/)
13:36:19	173950/173950	---MCZ	200	added ('OK')	application/javascript	etag:W/%22650c2ce0-2a77e%22	https://cdn.strawpoll.com/dist/app.js?v=231	C:/My%20Web%20Sites/Strawpoll/cdn.strawpoll.com/dist/app7bab.js	(from https://strawpoll.com/create/)
13:36:20	35388/35388	---MCZ	200	added ('OK')	application/javascript	etag:W/%22650844a6-8a3c%22	https://cdn.strawpoll.com/dist/sortable.js?v=231	C:/My%20Web%20Sites/Strawpoll/cdn.strawpoll.com/dist/sortable7bab.js	(from https://strawpoll.com/create/)
13:36:20	7133/7133	---M--	200	added ('OK')	image/png	etag:%2263fcd4a1-1bdd%22	https://strawpoll.com/apple-touch-icon.png	C:/My%20Web%20Sites/Strawpoll/strawpoll.com/apple-touch-icon.png	(from https://strawpoll.com/create/)
13:36:20	810/810	---M--	200	added ('OK')	image/png	etag:%22650844a6-32a%22	https://strawpoll.com/favicon-32x32.png	C:/My%20Web%20Sites/Strawpoll/strawpoll.com/favicon-32x32.png	(from https://strawpoll.com/create/)
13:36:21	440/440	---M--	200	added ('OK')	image/png	etag:%22650844a6-1b8%22	https://strawpoll.com/favicon-16x16.png	C:/My%20Web%20Sites/Strawpoll/strawpoll.com/favicon-16x16.png	(from https://strawpoll.com/create/)
13:36:21	33030/33030	---M--	200	added ('OK')	image/png	etag:%226215d769-8106%22	https://cdn.strawpoll.com/images/screenshots/create-poll-vote-c.png	C:/My%20Web%20Sites/Strawpoll/cdn.strawpoll.com/images/screenshots/create-poll-vote-c.png	(from https://strawpoll.com/create/)
13:36:23	60368/60368	---M--	200	added ('OK')	image/png	etag:%226215d763-ebd0%22	https://cdn.strawpoll.com/images/screenshots/create-poll-results-c.png	C:/My%20Web%20Sites/Strawpoll/cdn.strawpoll.com/images/screenshots/create-poll-results-c.png	(from https://strawpoll.com/create/)
